"id","company","name","country","continent","latitude","longitude","timezone"
57,"Cedar Fair Entertainment Company","California's Great America","United States","North America","37.397799","-121.974717","America/Los_Angeles"
58,"Cedar Fair Entertainment Company","Canada's Wonderland","Canada","North America","43.843","-79.539","America/Toronto"
59,"Cedar Fair Entertainment Company","Carowinds","United States","North America","35.1045","-80.9394","America/New_York"
50,"Cedar Fair Entertainment Company","Cedar Point","United States","North America","41.4822","-82.6835","America/New_York"
69,"Cedar Fair Entertainment Company","Dorney Park","United States","North America","40.577942","-75.531528","America/New_York"
62,"Cedar Fair Entertainment Company","Kings Dominion","United States","North America","37.84","-77.445","America/New_York"
60,"Cedar Fair Entertainment Company","Kings Island","United States","North America","39.3447","-84.2686","America/New_York"
61,"Cedar Fair Entertainment Company","Knott's Berry Farm","United States","North America","33.8442","-117.9986","America/Los_Angeles"
70,"Cedar Fair Entertainment Company","Michigan's Adventure","United States","North America","43.3474","-86.2789","America/New_York"
68,"Cedar Fair Entertainment Company","Valleyfair","United States","North America","44.798742","-93.453369","America/Chicago"
63,"Cedar Fair Entertainment Company","Worlds of Fun","United States","North America","39.177333","-94.489028","America/Chicago"
276,"Compagnie des Alpes","Bellewaerde","Belgium","Europe","50.846996","2.947948","Europe/Brussels"
291,"Compagnie des Alpes","Futuroscope","France","Europe","46.669167","0.368889","Europe/Paris"
9,"Compagnie des Alpes","Parc Astérix","France","Europe","49.1341839","2.5712301","Europe/Paris"
14,"Compagnie des Alpes","Walibi Belgium","Belgium","Europe","50.7018603","4.5940362","Europe/Brussels"
53,"Compagnie des Alpes","Walibi Holland","Netherlands","Europe","52.44","5.7625","Europe/Amsterdam"
301,"Compagnie des Alpes","Walibi Rhône-Alpes","France","Europe","45.621389","5.570278","Europe/Paris"
55,"Herschend Family Entertainment","Dollywood","United States","North America","35.805702","-83.528838","America/New_York"
10,"Herschend Family Entertainment","Silver Dollar City","United States","North America","36.6704749","-93.3370854","America/Chicago"
51,"Mack Rides","Europa Park","Germany","Europe","48.268333","7.720833","Europe/Berlin"
309,"Mack Rides","Rulantica","Germany","Europe","48.26082436","7.7400571","Europe/Berlin"
1,"Merlin Entertainments","Alton Towers","England","Europe","52.9874651","-1.8864769","Europe/London"
3,"Merlin Entertainments","Chessington World of Adventures","England","Europe","51.3478981","-0.3173283","Europe/London"
12,"Merlin Entertainments","Gardaland","Italy","Europe","45.4550142","10.7137527","Europe/Rome"
25,"Merlin Entertainments","Heide Park","Germany","Europe","53.0236683","9.8781907","Europe/Berlin"
52,"Merlin Entertainments","Legoland Billund","Denmark","Europe","55.735556","9.126111","Europe/Copenhagen"
279,"Merlin Entertainments","Legoland California","United States","North America","33.126667","-117.311111","America/Los_Angeles"
278,"Merlin Entertainments","Legoland Deutschland","Germany","Europe","48.424444","10.299722","Europe/Berlin"
280,"Merlin Entertainments","Legoland Florida","United States","North America","27.989172","-81.689936","America/New_York"
285,"Merlin Entertainments","Legoland Japan","Japan","Asia","35.050556","136.843333","Asia/Tokyo"
315,"Merlin Entertainments","Legoland Korea","South Korea","Asia","37.88380399","127.6974658","Asia/Seoul"
299,"Merlin Entertainments","Legoland New York","United States","North America","41.37855043","-74.31297395","America/New_York"
27,"Merlin Entertainments","Legoland Windsor","England","Europe","51.4634423","-0.649915","Europe/London"
316,"Merlin Entertainments","Peppa Pig Theme Park Florida","United States","North America","27.98688038","-81.6883981","America/New_York"
2,"Merlin Entertainments","Thorpe Park","England","Europe","51.4039456","-0.5143332","Europe/London"
319,"Other","Beto Carrero World","Brazil","South America","-26.802481","-48.614367","America/Sao_Paulo"
273,"Other","Blackpool Pleasure Beach","England","Europe","53.790278","-3.055556","Europe/London"
318,"Other","Cinecittà World","Italy","Europe","41.709032","12.44673","Europe/Rome"
290,"Other","Djurs Sommerland","Denmark","Europe","56.425933","10.550564","Europe/Copenhagen"
160,"Other","Efteling","Netherlands","Europe","51.650278","5.048056","Europe/Berlin"
317,"Other","Energylandia","Poland","Europe","50.000115","19.409078","Europe/Warsaw"
18,"Other","Fårup Sommerland","Denmark","Europe","57.2713353","9.6505668","Europe/Berlin"
166,"Other","Grona Lund","Sweden","Europe","59.323333","18.096667","Europe/Berlin"
15,"Other","Hersheypark","United States","North America","40.2887809","-76.6547469","America/New_York"
314,"Other","Knoebels","United States","North America","40.879","-76.505","America/New_York"
303,"Other","Le Pal","France","Europe","46.507222","3.630556","Europe/Paris"
